pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,events,description,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,pitch_name
FF,5/17/2021,100.9,-2.41,4.76,"Albies, Ozzie",field_out,hit_into_play,fly_ball,299,89.1,27,103.1,2354,7.4,4-Seam Fastball
SI,7/3/2021,100.8,-2.02,5.93,"Swanson, Dansby",single,hit_into_play,ground_ball,12,98.4,-10,100.6,2316,6.1,Sinker
SI,8/23/2021,100.7,0.56,6.27,"Contreras, William",field_out,hit_into_play,ground_ball,11,106,-8,102.7,2475,7.3,Sinker
SI,7/3/2021,100.7,-2.08,5.92,"Almonte, Abraham",single,hit_into_play,ground_ball,52,87.6,1,100.6,2444,6.2,Sinker
SI,9/29/2021,100.5,1.22,6.42,"Soler, Jorge",single,hit_into_play,ground_ball,59,105.4,1,100.9,2050,6.7,Sinker
SI,4/11/2021,100.4,0.91,6.62,"Swanson, Dansby",field_out,hit_into_play,fly_ball,387,99.6,30,101.5,2224,6.9,Sinker
SI,7/3/2021,100.2,-2.2,6,"Swanson, Dansby",field_out,hit_into_play,fly_ball,291,84.3,30,100.3,2278,6.1,Sinker
FF,7/1/2021,100.2,-1.24,5.59,"Adrianza, Ehire",triple,hit_into_play,ground_ball,11,91.8,-13,101.5,2205,6.8,4-Seam Fastball
FF,7/3/2021,100.1,-2.36,5.96,"Albies, Ozzie",single,hit_into_play,ground_ball,86,95.3,5,99.7,2153,6.1,4-Seam Fastball
SI,7/3/2021,100.1,-2.29,6.05,"Smith, Kevan",field_out,hit_into_play,ground_ball,1,49.8,-55,99.7,2353,6.1,Sinker
FF,4/12/2021,100,-0.68,6.83,"Marte, Starling",field_out,hit_into_play,ground_ball,9,97.1,-15,99.2,2047,6.2,4-Seam Fastball
FF,4/12/2021,99.9,-2.23,5.99,"Albies, Ozzie",field_out,hit_into_play,fly_ball,297,85.4,28,99.6,2313,6,4-Seam Fastball
FF,7/1/2021,99.7,-1.06,5.44,"Riley, Austin",home_run,hit_into_play,line_drive,360,101.4,22,101.3,2414,7,4-Seam Fastball
FF,7/1/2021,99.7,-1.11,5.48,"Riley, Austin",field_out,hit_into_play,ground_ball,8,101.4,-12,101.2,2402,7,4-Seam Fastball
SI,6/20/2021,99.7,1.41,6.12,"Albies, Ozzie",field_out,hit_into_play,line_drive,204,106,7,99.5,2329,6.1,Sinker
FF,6/29/2021,99.6,-2.1,4.86,"Acuña Jr., Ronald",field_out,hit_into_play,fly_ball,196,95.9,60,101.8,2173,7.4,4-Seam Fastball
FF,8/24/2021,99.5,0.73,6.31,"d'Arnaud, Travis",field_out,hit_into_play,ground_ball,7,64.2,-15,101.2,2508,7.4,4-Seam Fastball
FF,7/3/2021,99.5,-2.46,6.01,"Freeman, Freddie",single,hit_into_play,line_drive,301,105.2,14,99,2249,6,4-Seam Fastball
FF,7/1/2021,99.5,-1.23,5.59,"Smith, Kevan",single,hit_into_play,line_drive,271,105.1,13,100.8,2232,6.9,4-Seam Fastball
FF,4/10/2021,99.4,-1.49,6.05,"Pache, Cristian",field_out,hit_into_play,popup,184,77.3,55,100.2,2387,6.6,4-Seam Fastball
SI,4/11/2021,99.4,0.83,6.57,"Pache, Cristian",field_out,hit_into_play,fly_ball,249,86.6,47,100.4,2313,6.9,Sinker
SI,4/11/2021,99.4,0.86,6.5,"Riley, Austin",field_out,hit_into_play,line_drive,143,106,9,100.2,2215,6.8,Sinker
FF,8/24/2021,99.3,0.72,6.34,"Duvall, Adam",single,hit_into_play,line_drive,207,91.5,13,100.9,2305,7.2,4-Seam Fastball
FF,6/29/2021,99.3,-2.31,4.78,"Adrianza, Ehire",field_out,hit_into_play,fly_ball,295,90.8,48,101.2,2086,7.3,4-Seam Fastball
SI,7/3/2021,99.3,-2.47,5.96,"Smith, Kevan",field_out,hit_into_play,ground_ball,11,94.1,-9,99.2,2426,6.1,Sinker
FF,4/12/2021,99.2,-2.11,6.09,"Freeman, Freddie",field_out,hit_into_play,ground_ball,63,105.3,1,98.8,2388,6,4-Seam Fastball
SI,5/8/2021,99.2,1.1,6.58,"Freeman, Freddie",field_out,hit_into_play,ground_ball,3,77.7,-40,100.8,2107,7,Sinker
FF,7/16/2021,99.2,-0.78,6.18,"Adrianza, Ehire",field_out,hit_into_play,line_drive,140,51.3,32,99.6,2379,6.5,4-Seam Fastball
SI,9/30/2021,99.1,0.69,6.54,"Albies, Ozzie",field_out,hit_into_play,popup,130,86.5,70,100.1,1975,6.8,Sinker
FF,7/3/2021,99.1,-2.29,5.92,"Albies, Ozzie",single,hit_into_play,ground_ball,133,102.8,7,98.7,2269,6,4-Seam Fastball
FF,4/12/2021,99,-2.4,6.18,"Albies, Ozzie",field_out,hit_into_play,ground_ball,141,54.4,25,98.6,2260,6.1,4-Seam Fastball
FF,7/1/2021,99,-1.14,5.43,"Almonte, Abraham",field_out,hit_into_play,ground_ball,26,73.3,-2,100.8,2234,7,4-Seam Fastball
FF,9/14/2021,99,-2.28,5.79,"Swanson, Dansby",field_out,hit_into_play,ground_ball,6,100.2,-15,99.1,2396,6.5,4-Seam Fastball
