hit_distance_sc,launch_speed,launch_angle,effective_speed,pitch_name
299,89.1,27,103.1,4-Seam Fastball
12,98.4,-10,100.6,Sinker
11,106,-8,102.7,Sinker
52,87.6,1,100.6,Sinker
59,105.4,1,100.9,Sinker
387,99.6,30,101.5,Sinker
291,84.3,30,100.3,Sinker
11,91.8,-13,101.5,4-Seam Fastball
86,95.3,5,99.7,4-Seam Fastball
1,49.8,-55,99.7,Sinker
9,97.1,-15,99.2,4-Seam Fastball
297,85.4,28,99.6,4-Seam Fastball
360,101.4,22,101.3,4-Seam Fastball
8,101.4,-12,101.2,4-Seam Fastball
204,106,7,99.5,Sinker
196,95.9,60,101.8,4-Seam Fastball
7,64.2,-15,101.2,4-Seam Fastball
301,105.2,14,99,4-Seam Fastball
271,105.1,13,100.8,4-Seam Fastball
184,77.3,55,100.2,4-Seam Fastball
249,86.6,47,100.4,Sinker
143,106,9,100.2,Sinker
207,91.5,13,100.9,4-Seam Fastball
295,90.8,48,101.2,4-Seam Fastball
11,94.1,-9,99.2,Sinker
63,105.3,1,98.8,4-Seam Fastball
3,77.7,-40,100.8,Sinker
140,51.3,32,99.6,4-Seam Fastball
130,86.5,70,100.1,Sinker
133,102.8,7,98.7,4-Seam Fastball
141,54.4,25,98.6,4-Seam Fastball
26,73.3,-2,100.8,4-Seam Fastball
6,100.2,-15,99.1,4-Seam Fastball
21,72.6,-5,99.6,Sinker
253,85.6,20,100.6,4-Seam Fastball
63,74.7,5,100.6,4-Seam Fastball
259,78.4,39,99.2,4-Seam Fastball
18,64.5,-5,98,4-Seam Fastball
299,95.6,17,99.4,Sinker
7,56.6,-22,98.2,Sinker
12,82.5,-8,100,4-Seam Fastball
115,92,67,99.3,4-Seam Fastball
171,101.9,63,98,4-Seam Fastball
263,97,50,97.9,4-Seam Fastball
236,98.1,10,99.1,4-Seam Fastball
292,86.6,40,97.8,Sinker
8,66.3,-21,99,Sinker
3,90.4,-40,97.7,Sinker
258,90.4,19,99.2,4-Seam Fastball
295,82.7,26,99.5,4-Seam Fastball
53,107.4,0,98.7,4-Seam Fastball
159,100.7,10,98.1,4-Seam Fastball
140,102.9,6,98.9,Sinker
1,46.9,-67,98.9,Sinker
107,73.1,8,97.8,4-Seam Fastball
6,105.6,-19,99.1,4-Seam Fastball
333,95.3,26,99.7,4-Seam Fastball
343,100.8,40,98,4-Seam Fastball
18,108.7,-5,97.2,4-Seam Fastball
46,56.3,77,98.7,4-Seam Fastball
360,95.1,35,97.8,4-Seam Fastball
287,93.1,17,98.4,4-Seam Fastball
247,80.4,45,99.9,4-Seam Fastball
180,103.3,11,100,4-Seam Fastball
190,82.5,63,97.7,4-Seam Fastball
11,94.2,-11,97.7,Sinker
286,83.9,40,98.2,4-Seam Fastball
1,54.1,-60,98.4,Sinker
318,96.8,46,97.1,Sinker
127,69,68,97.6,4-Seam Fastball
293,82.9,31,98.1,4-Seam Fastball
413,105.3,25,98.6,4-Seam Fastball
276,110.3,11,97.9,Sinker
10,81.6,-15,97.9,4-Seam Fastball
240,70.8,39,99.5,4-Seam Fastball
371,98.9,30,97.7,4-Seam Fastball
228,94.6,15,97.4,Sinker
417,105.5,28,98.8,4-Seam Fastball
322,99.6,17,97.8,4-Seam Fastball
244,71.2,29,97.8,4-Seam Fastball
293,87.1,30,97.1,Sinker
369,105.2,27,96.5,4-Seam Fastball
